temp_air
11.5
11.3
11.4
11.0
10.8
10.9
12.1
12.8
13.4
14.0
13.6
13.8
14.4
15.0
14.9
14.9
14.8
14.7
14.2
13.5
13.0
12.7
12.4
12.1
